id,givenName,familyName,middleName,honorificSuffix,birthYear,deathYear,num_terms,positions,states,parties,congress_range
M000079,Rollin,Mallary,Carolas,,1784.0,1831.0,7,['Representative'],['VT'],"['Democratic Republican', 'Adams', 'Adams-Clay Republican', 'Anti-Jacksonian']",16-22
M000096,Willie,Mangum,Person,,1792.0,1861.0,12,"['Senator', 'Representative']",['NC'],"['Whig', 'Jacksonian', 'Anti-Jacksonian', 'Crawford Republican']",18-32
M000099,Abijah,Mann,,Jr.,1793.0,1868.0,2,['Representative'],['NY'],['Jacksonian'],23-24
M000107,Joel,Mann,Keith,,1780.0,1857.0,2,['Representative'],['PA'],['Jacksonian'],22-23
M000110,Richard,Manning,Irvine,,1789.0,1836.0,2,['Representative'],['SC'],['Jacksonian'],23-24
M000120,John,Marable,Hartwell,,1786.0,1844.0,2,['Representative'],['TN'],['Jacksonian'],19-20
M000124,David,Marchand,,,1776.0,1832.0,2,['Representative'],['PA'],['Democratic Republican'],15-16
M000127,William,Marcy,Learned,,1786.0,1857.0,1,['Senator'],['NY'],['Jacksonian'],22-22
M000128,Samuel,Mardis,Wright,,1800.0,1836.0,2,['Representative'],['AL'],['Jacksonian'],22-23
M000130,Robert,Marion,,,1766.0,1811.0,3,['Representative'],['SC'],['Democratic Republican'],9-11
M000131,Henry,Markell,,,1792.0,1831.0,2,['Representative'],['NY'],['Adams'],19-20
M000132,Jacob,Markell,,,1770.0,1852.0,1,['Representative'],['NY'],['Federalist'],13-13
M000135,Philip,Markley,Swenk,,1789.0,1834.0,2,['Representative'],['PA'],"['Adams', 'Jackson Republican']",18-19
M000137,William,Marks,,,1778.0,1858.0,3,['Senator'],['PA'],"['Adams', 'Anti-Jacksonian']",19-21
M000141,Alem,Marr,,,1787.0,1843.0,1,['Representative'],['PA'],['Jacksonian'],21-21
M000142,George,Marr,Washington Lent,,1779.0,1856.0,1,['Representative'],['TN'],['Democratic Republican'],15-15
M000146,Charles,Marsh,,,1765.0,1849.0,1,['Representative'],['VT'],['Federalist'],14-14
M000155,Humphrey,Marshall,,,1760.0,1841.0,3,['Senator'],['KY'],['Federalist'],4-6
M000157,John,Marshall,,,1755.0,1835.0,1,['Representative'],['VA'],['Federalist'],6-6
M000161,Thomas,Marshall,Alexander,,1794.0,1871.0,2,['Representative'],['KY'],['Anti-Jacksonian'],22-23
M000166,Alexander,Martin,,,1740.0,1807.0,3,['Senator'],['NC'],['Anti-Administration'],3-5
M000198,Robert,Martin,Nicols,,1798.0,1870.0,1,['Representative'],['MD'],['Adams'],19-19
M000202,William,Martin,Dickinson,,1789.0,1833.0,2,['Representative'],['SC'],['Jacksonian'],20-21
M000204,Henry,Martindale,Clinton,,1780.0,1860.0,5,['Representative'],['NY'],"['Adams', 'Adams-Clay Federalist', 'Anti-Jacksonian', 'Anti-Masonic']",18-23
M000208,Dudley,Marvin,,,1786.0,1852.0,4,['Representative'],['NY'],"['Whig', 'Adams', 'Adams-Clay Republican']",18-30
M000213,Armistead,Mason,Thomson,,1787.0,1819.0,1,['Senator'],['VA'],['Democratic Republican'],14-14
M000215,James,Mason,Brown,,1775.0,1819.0,2,['Representative'],['RI'],['Federalist'],14-15
M000217,Jeremiah,Mason,,,1768.0,1848.0,3,['Senator'],['NH'],['Federalist'],13-15
M000220,John,Mason,Young,,1799.0,1859.0,3,['Representative'],['VA'],['Jacksonian'],22-24
M000221,Jonathan,Mason,,,1756.0,1831.0,4,"['Senator', 'Representative']",['MA'],['Federalist'],6-16
M000223,Moses,Mason,,Jr.,1789.0,1866.0,2,['Representative'],['ME'],['Jacksonian'],23-24
M000226,Stevens,Mason,Thomson,,1760.0,1803.0,6,['Senator'],['VA'],['Democratic Republican'],3-8
M000232,Josiah,Masters,,,1763.0,1822.0,2,['Representative'],['NY'],['Democratic Republican'],9-10
M000234,George,Mathews,,,1739.0,1812.0,1,['Representative'],['GA'],['Anti-Administration'],1-1
M000239,Vincent,Mathews,,,1766.0,1846.0,1,['Representative'],['NY'],['Federalist'],11-11
M000240,Elisha,Mathewson,,,1767.0,1853.0,2,['Senator'],['RI'],['Democratic Republican'],10-11
M000245,James,Matlack,,,1775.0,1840.0,2,['Representative'],['NJ'],"['Democratic Republican', 'Adams-Clay Republican']",17-18
